utt,spk,partner,logmel_l1,snr_db
p00_u93,p00,demucs,0.3962,-5.41
p00_u93,p00,tstnn,0.4413,-6.68
p00_u94,p00,ce0.0,0.3022,11.87
p00_u94,p00,ce10.0,0.7427,3.34
p00_u94,p00,demucs,0.373,-4.72
p00_u94,p00,tstnn,0.4511,-5.85
p00_u95,p00,ce0.0,0.2991,11.89
p00_u95,p00,ce10.0,0.733,3.03
p00_u95,p00,demucs,0.4292,-5.93
p00_u95,p00,tstnn,0.3996,-5.55
p00_u96,p00,ce0.0,0.3402,10.23
p00_u96,p00,ce10.0,0.7178,2.77
p00_u96,p00,demucs,0.37,-5.82
p00_u96,p00,tstnn,0.4303,-6.26
p00_u97,p00,ce0.0,0.3081,10.6
p00_u97,p00,ce10.0,0.6782,3.2
p00_u97,p00,demucs,0.5883,-7.09
p00_u97,p00,tstnn,0.4003,-5.99
p00_u98,p00,ce0.0,0.3315,9.41
p00_u98,p00,ce10.0,0.7003,2.09
p00_u98,p00,demucs,0.4289,-6.09
p00_u98,p00,tstnn,0.3978,-6.37
p00_u99,p00,ce0.0,0.3278,10.41
p00_u99,p00,ce10.0,0.7127,2.31
p00_u99,p00,demucs,0.3908,-5.53
p00_u99,p00,tstnn,0.4509,-6.29
p02_u00,p02,ce0.0,0.3536,8.83
p02_u00,p02,ce10.0,0.9404,-1.05
p02_u00,p02,demucs,0.7539,-9.37
p02_u00,p02,tstnn,0.5799,-6.83
p02_u01,p02,ce0.0,0.3007,11.93
p02_u01,p02,ce10.0,0.7059,5.11
p02_u01,p02,demucs,0.4113,-5.96
p02_u01,p02,tstnn,0.4871,-3.96
p02_u02,p02,ce0.0,0.3541,12.39
p02_u02,p02,ce10.0,0.8241,5.22
p02_u02,p02,demucs,0.4909,-6.1
p02_u02,p02,tstnn,0.6181,-3.93
p02_u03,p02,ce0.0,0.4442,7.19
p02_u03,p02,ce10.0,0.7195,4.37
p02_u03,p02,demucs,0.4698,-5.89
p02_u03,p02,tstnn,0.4323,-4.0
p02_u04,p02,ce0.0,0.4182,8.54
p02_u04,p02,ce10.0,0.6696,5.34
p02_u04,p02,demucs,0.3581,-5.33
p02_u04,p02,tstnn,0.4595,-3.51
p02_u05,p02,ce0.0,0.2524,11.67
p02_u05,p02,ce10.0,0.7288,5.01
p02_u05,p02,demucs,0.367,-5.88
p02_u05,p02,tstnn,0.4921,-4.0
p02_u06,p02,ce0.0,0.2562,11.61
p02_u06,p02,ce10.0,0.6539,4.43
p02_u06,p02,demucs,0.3969,-6.51
p02_u06,p02,tstnn,0.4714,-4.21
p02_u07,p02,ce0.0,0.2525,12.24
p02_u07,p02,ce10.0,0.6826,4.98
p02_u07,p02,demucs,0.3664,-6.05
p02_u07,p02,tstnn,0.4564,-4.01
p02_u08,p02,ce0.0,0.2635,12.81
p02_u08,p02,ce10.0,0.6859,5.31
p02_u08,p02,demucs,0.3886,-6.13
p02_u08,p02,tstnn,0.452,-4.06
p02_u09,p02,ce0.0,0.2411,12.67
p02_u09,p02,ce10.0,0.6462,5.3
p02_u09,p02,demucs,0.3949,-6.33
p02_u09,p02,tstnn,0.4321,-4.02
p02_u10,p02,ce0.0,0.2259,13.62
p02_u10,p02,ce10.0,0.6705,5.54
p02_u10,p02,demucs,0.3415,-5.14
p02_u10,p02,tstnn,0.4144,-3.5
p02_u11,p02,ce0.0,0.2561,12.77
p02_u11,p02,ce10.0,0.6861,5.49
p02_u11,p02,demucs,0.4161,-6.32
p02_u11,p02,tstnn,0.4564,-4.04
p02_u12,p02,ce0.0,0.2495,12.91
p02_u12,p02,ce10.0,0.6593,5.31
p02_u12,p02,demucs,0.3665,-5.91
p02_u12,p02,tstnn,0.4564,-3.68
p02_u13,p02,ce0.0,0.2437,13.11
p02_u13,p02,ce10.0,0.6879,5.17
p02_u13,p02,demucs,0.3727,-5.76
p02_u13,p02,tstnn,0.4476,-3.88
p02_u14,p02,ce0.0,0.4454,8.11
p02_u14,p02,ce10.0,0.6585,4.98
p02_u14,p02,demucs,0.4069,-6.13
p02_u14,p02,tstnn,0.4079,-4.08
p02_u15,p02,ce0.0,0.2606,11.27
p02_u15,p02,ce10.0,0.651,5.26
p02_u15,p02,demucs,0.3599,-5.94
p02_u15,p02,tstnn,0.4475,-3.98
p02_u16,p02,ce0.0,0.3577,9.12
p02_u16,p02,ce10.0,0.6841,4.81
p02_u16,p02,demucs,0.4186,-5.82
p02_u16,p02,tstnn,0.4172,-4.29
p02_u17,p02,ce0.0,0.2585,12.97
p02_u17,p02,ce10.0,0.692,5.24
p02_u17,p02,demucs,0.3653,-5.59
p02_u17,p02,tstnn,0.417,-3.83
p02_u18,p02,ce0.0,0.2274,12.67
p02_u18,p02,ce10.0,0.6605,5.14
p02_u18,p02,demucs,0.3597,-6.24
p02_u18,p02,tstnn,0.4242,-4.03
p02_u19,p02,ce0.0,0.2552,12.26
p02_u19,p02,ce10.0,0.6708,4.93
p02_u19,p02,demucs,0.3544,-5.89
p02_u19,p02,tstnn,0.4624,-4.19
p02_u20,p02,ce0.0,0.2598,12.26
