condition,speaker_id,sentence_id,cer
no_se/pink/snr_+10dB,p00,u37,0.3729
no_se/pink/snr_+10dB,p00,u38,0.2927
no_se/pink/snr_+10dB,p00,u39,0.5532
no_se/pink/snr_+10dB,p00,u40,0.6757
no_se/pink/snr_+10dB,p00,u41,0.5111
no_se/pink/snr_+10dB,p00,u42,0.5179
no_se/pink/snr_+10dB,p00,u43,0.2879
no_se/pink/snr_+10dB,p00,u44,0.2459
no_se/pink/snr_+10dB,p00,u45,0.5556
no_se/pink/snr_+10dB,p00,u46,0.6
no_se/pink/snr_+10dB,p00,u47,0.3559
no_se/pink/snr_+10dB,p00,u48,0.4
no_se/pink/snr_+10dB,p00,u49,0.3429
no_se/pink/snr_+20dB,p00,u00,0.2264
no_se/pink/snr_+20dB,p00,u01,0.3818
no_se/pink/snr_+20dB,p00,u02,0.3556
no_se/pink/snr_+20dB,p00,u03,0.2097
no_se/pink/snr_+20dB,p00,u04,0.1964
no_se/pink/snr_+20dB,p00,u05,0.125
no_se/pink/snr_+20dB,p00,u06,0.1897
no_se/pink/snr_+20dB,p00,u07,0.2778
no_se/pink/snr_+20dB,p00,u08,0.2857
no_se/pink/snr_+20dB,p00,u09,0.5122
no_se/pink/snr_+20dB,p00,u10,0.3333
no_se/pink/snr_+20dB,p00,u11,0.2857
no_se/pink/snr_+20dB,p00,u12,0.4062
no_se/pink/snr_+20dB,p00,u13,0.2353
no_se/pink/snr_+20dB,p00,u14,0.3137
no_se/pink/snr_+20dB,p00,u15,0.5682
no_se/pink/snr_+20dB,p00,u16,0.2558
no_se/pink/snr_+20dB,p00,u17,0.463
no_se/pink/snr_+20dB,p00,u18,0.2969
no_se/pink/snr_+20dB,p00,u19,0.2439
no_se/pink/snr_+20dB,p00,u20,0.403
no_se/pink/snr_+20dB,p00,u21,0.2745
no_se/pink/snr_+20dB,p00,u22,0.2
no_se/pink/snr_+20dB,p00,u23,0.2273
no_se/pink/snr_+20dB,p00,u24,0.2041
no_se/pink/snr_+20dB,p00,u25,0.4151
no_se/pink/snr_+20dB,p00,u26,0.3636
no_se/pink/snr_+20dB,p00,u27,0.3103
no_se/pink/snr_+20dB,p00,u28,0.2
no_se/pink/snr_+20dB,p00,u29,0.3396
no_se/pink/snr_+20dB,p00,u30,0.1818
no_se/pink/snr_+20dB,p00,u31,0.2833
no_se/pink/snr_+20dB,p00,u32,0.3333
no_se/pink/snr_+20dB,p00,u33,0.4103
no_se/pink/snr_+20dB,p00,u34,0.2941
no_se/pink/snr_+20dB,p00,u35,0.2222
no_se/pink/snr_+20dB,p00,u36,0.25
no_se/pink/snr_+20dB,p00,u37,0.2542
no_se/pink/snr_+20dB,p00,u38,0.1707
no_se/pink/snr_+20dB,p00,u39,0.2766
no_se/pink/snr_+20dB,p00,u40,0.5946
no_se/pink/snr_+20dB,p00,u41,0.4667
no_se/pink/snr_+20dB,p00,u42,0.4821
no_se/pink/snr_+20dB,p00,u43,0.2576
no_se/pink/snr_+20dB,p00,u44,0.0984
no_se/pink/snr_+20dB,p00,u45,0.3556
no_se/pink/snr_+20dB,p00,u46,0.4667
no_se/pink/snr_+20dB,p00,u47,0.3051
no_se/pink/snr_+20dB,p00,u48,0.1778
no_se/pink/snr_+20dB,p00,u49,0.2571
no_se/pink/snr_+5dB,p00,u00,0.7358
no_se/pink/snr_+5dB,p00,u01,1.0364
no_se/pink/snr_+5dB,p00,u02,0.6444
no_se/pink/snr_+5dB,p00,u03,0.4677
no_se/pink/snr_+5dB,p00,u04,0.625
no_se/pink/snr_+5dB,p00,u05,0.4643
no_se/pink/snr_+5dB,p00,u06,0.3276
no_se/pink/snr_+5dB,p00,u07,0.5926
no_se/pink/snr_+5dB,p00,u08,0.8095
no_se/pink/snr_+5dB,p00,u09,1.0488
no_se/pink/snr_+5dB,p00,u10,0.6
no_se/pink/snr_+5dB,p00,u11,0.619
no_se/pink/snr_+5dB,p00,u12,0.7812
no_se/pink/snr_+5dB,p00,u13,0.5294
no_se/pink/snr_+5dB,p00,u14,0.7059
no_se/pink/snr_+5dB,p00,u15,0.7727
no_se/pink/snr_+5dB,p00,u16,0.5116
no_se/pink/snr_+5dB,p00,u17,1.1481
no_se/pink/snr_+5dB,p00,u18,0.6562
no_se/pink/snr_+5dB,p00,u19,0.3659
no_se/pink/snr_+5dB,p00,u20,0.5075
no_se/pink/snr_+5dB,p00,u21,0.4314
no_se/pink/snr_+5dB,p00,u22,0.6364
no_se/pink/snr_+5dB,p00,u23,0.2727
no_se/pink/snr_+5dB,p00,u24,0.4286
no_se/pink/snr_+5dB,p00,u25,0.7925
no_se/pink/snr_+5dB,p00,u26,0.5152
no_se/pink/snr_+5dB,p00,u27,0.8448
no_se/pink/snr_+5dB,p00,u28,0.5455
no_se/pink/snr_+5dB,p00,u29,0.6415
no_se/pink/snr_+5dB,p00,u30,0.4364
no_se/pink/snr_+5dB,p00,u31,0.7333
no_se/pink/snr_+5dB,p00,u32,0.8611
no_se/pink/snr_+5dB,p00,u33,0.8462
no_se/pink/snr_+5dB,p00,u34,0.7353
no_se/pink/snr_+5dB,p00,u35,0.8889
no_se/pink/snr_+5dB,p00,u36,0.525
no_se/pink/snr_+5dB,p00,u37,0.5424
no_se/pink/snr_+5dB,p00,u38,0.4146
no_se/pink/snr_+5dB,p00,u39,0.6383
no_se/pink/snr_+5dB,p00,u40,0.6757
no_se/pink/snr_+5dB,p00,u41,0.6
no_se/pink/snr_+5dB,p00,u42,0.5714
no_se/pink/snr_+5dB,p00,u43,0.7727
no_se/pink/snr_+5dB,p00,u44,0.377
no_se/pink/snr_+5dB,p00,u45,1.0889
no_se/pink/snr_+5dB,p00,u46,0.6
no_se/pink/snr_+5dB,p00,u47,0.4068
no_se/pink/snr_+5dB,p00,u48,0.4
no_se/pink/snr_+5dB,p00,u49,0.5429
no_se/pink/snr_-5dB,p00,u00,1.1509
no_se/pink/snr_-5dB,p00,u01,0.9455
no_se/pink/snr_-5dB,p00,u02,1.0444
no_se/pink/snr_-5dB,p00,u03,0.9516
no_se/pink/snr_-5dB,p00,u04,0.9286
no_se/pink/snr_-5dB,p00,u05,1.0
no_se/pink/snr_-5dB,p00,u06,0.8103
no_se/pink/snr_-5dB,p00,u07,1.037
no_se/pink/snr_-5dB,p00,u08,1.0
no_se/pink/snr_-5dB,p00,u09,1.0
no_se/pink/snr_-5dB,p00,u10,1.25
no_se/pink/snr_-5dB,p00,u11,1.4524
no_se/pink/snr_-5dB,p00,u12,1.1875
no_se/pink/snr_-5dB,p00,u13,0.9804
no_se/pink/snr_-5dB,p00,u14,1.0392
no_se/pink/snr_-5dB,p00,u15,1.1818
no_se/pink/snr_-5dB,p00,u16,0.9767
no_se/pink/snr_-5dB,p00,u17,1.0
no_se/pink/snr_-5dB,p00,u18,0.9844
no_se/pink/snr_-5dB,p00,u19,1.2439
no_se/pink/snr_-5dB,p00,u20,0.9851
no_se/pink/snr_-5dB,p00,u21,1.0
no_se/pink/snr_-5dB,p00,u22,0.9636
no_se/pink/snr_-5dB,p00,u23,0.9848
no_se/pink/snr_-5dB,p00,u24,1.2857
no_se/pink/snr_-5dB,p00,u25,1.0
no_se/pink/snr_-5dB,p00,u26,1.0
no_se/pink/snr_-5dB,p00,u27,2.1207
no_se/pink/snr_-5dB,p00,u28,1.0
no_se/pink/snr_-5dB,p00,u29,1.4528
no_se/pink/snr_-5dB,p00,u30,0.9636
no_se/pink/snr_-5dB,p00,u31,0.9333
no_se/pink/snr_-5dB,p00,u32,1.0
no_se/pink/snr_-5dB,p00,u33,1.0513
no_se/pink/snr_-5dB,p00,u34,1.5
no_se/pink/snr_-5dB,p00,u35,1.0
no_se/pink/snr_-5dB,p00,u36,0.975
no_se/pink/snr_-5dB,p00,u37,1.0
no_se/pink/snr_-5dB,p00,u38,1.0
no_se/pink/snr_-5dB,p00,u39,1.0213
no_se/pink/snr_-5dB,p00,u40,1.1892
no_se/pink/snr_-5dB,p00,u41,1.0
no_se/pink/snr_-5dB,p00,u42,0.9107
no_se/pink/snr_-5dB,p00,u43,1.0909
no_se/pink/snr_-5dB,p00,u44,1.3607
no_se/pink/snr_-5dB,p00,u45,0.9556
no_se/pink/snr_-5dB,p00,u46,0.9778
no_se/pink/snr_-5dB,p00,u47,1.0
no_se/pink/snr_-5dB,p00,u48,1.0
no_se/pink/snr_-5dB,p00,u49,1.0
no_se/white/snr_+0dB,p00,u00,1.0943
no_se/white/snr_+0dB,p00,u01,0.9636
no_se/white/snr_+0dB,p00,u02,0.6222
no_se/white/snr_+0dB,p00,u03,0.5
no_se/white/snr_+0dB,p00,u04,0.7321
no_se/white/snr_+0dB,p00,u05,0.9286
no_se/white/snr_+0dB,p00,u06,0.6207
no_se/white/snr_+0dB,p00,u07,0.8889
no_se/white/snr_+0dB,p00,u08,0.9524
no_se/white/snr_+0dB,p00,u09,0.9512
no_se/white/snr_+0dB,p00,u10,0.8
no_se/white/snr_+0dB,p00,u11,0.7143
no_se/white/snr_+0dB,p00,u12,0.875
no_se/white/snr_+0dB,p00,u13,0.8039
no_se/white/snr_+0dB,p00,u14,0.9608
no_se/white/snr_+0dB,p00,u15,1.1591
no_se/white/snr_+0dB,p00,u16,0.814
