speaker,utterance,no_se,taps_pretrained,enc_best,ce_best
p04,p04_u11,0.3877551020408163,0.3469387755102041,0.3469387755102041,0.3673469387755102
p04,p04_u12,0.4423076923076923,0.25,0.28846153846153844,0.17307692307692307
p04,p04_u13,0.43548387096774194,0.3870967741935484,0.3064516129032258,0.3387096774193548
p04,p04_u14,0.36923076923076925,0.27692307692307694,0.26153846153846155,0.24615384615384617
p04,p04_u15,0.27586206896551724,0.1724137931034483,0.12643678160919541,0.13793103448275862
p04,p04_u16,0.35294117647058826,0.20588235294117646,0.19117647058823528,0.22058823529411764
p04,p04_u17,0.2982456140350877,0.3157894736842105,0.2631578947368421,0.15789473684210525
p04,p04_u18,0.41935483870967744,0.25806451612903225,0.25806451612903225,0.24731182795698925
p04,p04_u19,0.37662337662337664,0.2077922077922078,0.2857142857142857,0.18181818181818182
p04,p04_u20,0.367816091954023,0.19540229885057472,0.1839080459770115,0.20689655172413793
p04,p04_u21,0.3684210526315789,0.19298245614035087,0.21052631578947367,0.14035087719298245
p04,p04_u22,0.5,0.2631578947368421,0.23684210526315788,0.18421052631578946
p04,p04_u23,0.3125,0.171875,0.109375,0.109375
p04,p04_u24,0.21153846153846154,0.11538461538461539,0.15384615384615385,0.019230769230769232
p04,p04_u25,0.27058823529411763,0.2,0.2,0.11764705882352941
p04,p04_u26,0.4358974358974359,0.1282051282051282,0.15384615384615385,0.05128205128205128
p04,p04_u27,0.37037037037037035,0.2962962962962963,0.20987654320987653,0.2962962962962963
p04,p04_u28,0.2898550724637681,0.18840579710144928,0.17391304347826086,0.15942028985507245
p04,p04_u29,0.3269230769230769,0.28846153846153844,0.3076923076923077,0.2692307692307692
p04,p04_u30,0.375,0.3068181818181818,0.25,0.25
p04,p04_u31,0.2786885245901639,0.16393442622950818,0.13114754098360656,0.13114754098360656
p04,p04_u32,0.2,0.14285714285714285,0.15714285714285714,0.14285714285714285
p04,p04_u33,0.375,0.16071428571428573,0.05357142857142857,0.05357142857142857
p04,p04_u34,0.421875,0.1875,0.171875,0.15625
p04,p04_u35,0.625,0.25,0.225,0.175
p04,p04_u36,0.2727272727272727,0.10909090909090909,0.18181818181818182,0.12727272727272726
p04,p04_u37,0.4794520547945205,0.3424657534246575,0.3972602739726027,0.273972602739726
p04,p04_u38,0.3333333333333333,0.27380952380952384,0.21428571428571427,0.20238095238095238
p04,p04_u39,0.22972972972972974,0.10810810810810811,0.08108108108108109,0.0945945945945946
p04,p04_u40,0.3793103448275862,0.1896551724137931,0.1896551724137931,0.10344827586206896
p04,p04_u41,0.3191489361702128,0.1276595744680851,0.10638297872340426,0.1276595744680851
p04,p04_u42,0.1320754716981132,0.11320754716981132,0.05660377358490566,0.03773584905660377
p04,p04_u43,1.0,0.14666666666666667,0.12,0.13333333333333333
p04,p04_u44,0.32894736842105265,0.10526315789473684,0.10526315789473684,0.09210526315789473
p04,p04_u45,0.6595744680851063,0.2553191489361702,0.3191489361702128,0.2765957446808511
p04,p04_u46,0.7272727272727273,0.6060606060606061,0.6666666666666666,0.6060606060606061
p04,p04_u47,0.18518518518518517,0.16049382716049382,0.1111111111111111,0.09876543209876543
p04,p04_u48,0.2823529411764706,0.16470588235294117,0.17647058823529413,0.15294117647058825
p04,p04_u49,0.49019607843137253,0.3333333333333333,0.37254901960784315,0.29411764705882354
p04,p04_u50,0.3148148148148148,0.14814814814814814,0.12962962962962962,0.09259259259259259
p04,p04_u51,0.6271186440677966,0.4406779661016949,0.4576271186440678,0.3898305084745763
p04,p04_u52,0.46153846153846156,0.27692307692307694,0.2153846153846154,0.18461538461538463
p04,p04_u53,0.43478260869565216,0.2608695652173913,0.2391304347826087,0.2391304347826087
p04,p04_u54,0.3170731707317073,0.12195121951219512,0.024390243902439025,0.0975609756097561
p04,p04_u55,0.49122807017543857,0.24561403508771928,0.19298245614035087,0.10526315789473684
p04,p04_u56,0.5285714285714286,0.2714285714285714,0.21428571428571427,0.18571428571428572
p04,p04_u57,0.34523809523809523,0.23809523809523808,0.16666666666666666,0.10714285714285714
p04,p04_u58,0.2711864406779661,0.13559322033898305,0.15254237288135594,0.0847457627118644
p04,p04_u59,0.38095238095238093,0.20634920634920634,0.20634920634920634,0.1746031746031746
p04,p04_u60,0.4057971014492754,0.2318840579710145,0.14492753623188406,0.15942028985507245
p04,p04_u61,0.4578313253012048,0.24096385542168675,0.27710843373493976,0.2289156626506024
p04,p04_u62,0.30434782608695654,0.2608695652173913,0.32608695652173914,0.2391304347826087
p04,p04_u63,0.38596491228070173,0.21052631578947367,0.3333333333333333,0.21052631578947367
p04,p04_u64,0.3333333333333333,0.24561403508771928,0.21052631578947367,0.14035087719298245
p04,p04_u65,0.24390243902439024,0.04878048780487805,0.04878048780487805,0.0975609756097561
p04,p04_u66,0.23255813953488372,0.20930232558139536,0.2558139534883721,0.11627906976744186
p04,p04_u67,0.21818181818181817,0.16363636363636364,0.18181818181818182,0.10909090909090909
p04,p04_u68,0.37777777777777777,0.044444444444444446,0.08888888888888889,0.06666666666666667
p04,p04_u69,0.25,0.125,0.10714285714285714,0.05357142857142857
p04,p04_u70,0.23684210526315788,0.10526315789473684,0.09210526315789473,0.06578947368421052
p04,p04_u71,0.32926829268292684,0.15853658536585366,0.18292682926829268,0.15853658536585366
p04,p04_u72,0.4461538461538462,0.1076923076923077,0.18461538461538463,0.13846153846153847
p04,p04_u73,0.3050847457627119,0.1864406779661017,0.15254237288135594,0.1864406779661017
p04,p04_u74,0.40298507462686567,0.29850746268656714,0.1791044776119403,0.19402985074626866
p04,p04_u75,0.5571428571428572,0.38571428571428573,0.3142857142857143,0.34285714285714286
p04,p04_u76,0.6825396825396826,0.49206349206349204,0.5555555555555556,0.5079365079365079
p04,p04_u77,0.46296296296296297,0.35185185185185186,0.2962962962962963,0.25925925925925924
p04,p04_u78,0.34,0.18,0.22,0.24
p04,p04_u79,0.35185185185185186,0.24074074074074073,0.2037037037037037,0.18518518518518517
p04,p04_u80,0.44,0.18,0.06,0.08
p04,p04_u81,0.4418604651162791,0.27906976744186046,0.32558139534883723,0.3488372093023256
p04,p04_u82,0.22535211267605634,0.09859154929577464,0.056338028169014086,0.09859154929577464
p04,p04_u83,0.4157303370786517,0.23595505617977527,0.2696629213483146,0.2808988764044944
p04,p04_u84,0.4936708860759494,0.31645569620253167,0.25316455696202533,0.2911392405063291
p04,p04_u85,0.14102564102564102,0.16666666666666666,0.14102564102564102,0.15384615384615385
p04,p04_u86,0.375,0.171875,0.109375,0.15625
p04,p04_u87,0.410958904109589,0.2328767123287671,0.1917808219178082,0.1643835616438356
